,Unnamed: 0,Person,Institution,Type of relationship (general),"Type of relationship (specific - professor, director, etc)",Time (discrete or interval),Time category,Place,Brief note,Event,Year
0,0,Bethwell Ogot,Makerere University,Academic,Lecturer in History Department,,,,Friend of Tom Mboya,,
1,1,Bethwell Ogot,University of Nairobi,Academic,Head of History Department,,,,,,
2,2,Bethwell Ogot,East African Institute for Social and Cultural Affairs,Secretary General,,,,,,,
3,3,Bethwell Ogot,East African Publishing House,Chair of Board of Directors,,,,,,,
4,4,Bethwell Ogot,East African Academy,Treasurer,,1966,Year,,"Elected treasurer at the 1966 symposium, Kampala",,1966.0
5,5,Sam Ntiro ,"East Africa High Commission, London",Diplomat,High commissioner ,early 1960s,Approximation,,,,1960.0
6,6,Sheikh Hyder el-Kindy,East African Swahili Committee,Committee member,,1960s,,,,,1960.0
7,7,Ebrahim Hussein,East African Swahili Committee,Contributor,,1969,Year,,"Contributed an article on Swahili theatre to the journal of the committee (vol. 39/1+2, 1969)",,1969.0
8,8,Ebrahim Hussein,East African Publishing House,Published,,1970s,Year,,Published plays including 'Wakati ukuta' (1977) and a reference work 'Michezo ya kuigiza' (1975).,,1970.0
9,9,Shaaban Robert,East African Swahili Committee,Chairman,,early 1960s,Approximation,,,,1960.0
10,10,Shaaban Robert,East African Literature Bureau,Published,,1973,Year,,"Shaaban Robert's landmark Swahili novel, Kusadikika, was republished posthumously by the East African Literature Bureau in 1973, following its original publication in 1951.",,1973.0
11,11,Shaaban Robert,East African Literature Bureau,Council member,,1951-1952,Interval,,Served as one of Tanganyika's representatives to the EALB Advisory Council.,,1952.0
12,12,Thomas Marealle,United Nations Food and Agriculture Organzation,,,1960s,Approximation,,,,1960.0
13,13,Elimo Njau,Paa ya Paa Gallery,Founder,,1965,Year,,,,1965.0
14,14,Elimo Njau,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,1965,Year,,,,1965.0
15,15,Rebecca Njau,Makerere University,Student,Undergraduate in English; postgraduate diploma in Education,,,,,,
16,16,Rebecca Njau,Paa ya Paa Gallery,Artist,"Held exhibitions of her batiks and tie-dye wall hangings, shirts, tops and other items",1968-1975,Interval,,,,1975.0
17,17,Elvania Namukwaya Zirimu,Makerere University,Student,Undergraduate in Education,early 1960s,Approximation,,,,1960.0
18,18,Micere Mugo,Makerere University,Student,,1961-1964,Interval,,,,1964.0
19,19,Rebecca Mulira,East African Institute for Social and Cultural Affairs,Speaker,,February 1964,Year,,,,1964.0
20,20,Rose Mbowa,Makerere University,Student,Undergraduate in English Literature,1964-1967,Interval,,,,1967.0
21,21,Noah Sempira,East African Literature Bureau,Director,,,,,,,
22,22,Reuben Olembo,East African Academy,Editor,,1966,Year,,"Elected editor at the 1966 symposium, Kampala",,1966.0
23,23,Reuben Olembo,Makerere University,,,,,,,,
24,24,Wilbert Chagula,East African Academy,President,,1963-1977,Interval,,,,1977.0
25,25,Wilbert Chagula,East African Institute for Social and Cultural Affairs,Governor,,1963-1968,Interval,,Criticised EAISCA for its lax accountancy and governance structures,,1968.0
26,26,Wilbert Chagula,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,1965,Year,,,,1965.0
27,27,Sayed Abidi,East African School of Librarianship,Director,,1972-2002,Interval,,,,2002.0
28,28,Sayed Abidi,Makerere University,,,,,,,,
29,29,Taban lo Liyong,University of Nairobi,Academic,Lecturer,,,,,,
30,30,Kirunda Kivejinja,East African Institute for Social and Cultural Affairs,Intellectual and politician,,1960s,Approximation,Kampala,"Worked with the Milton Obote Foundation, the Uganda Publishing House, and The People newspaper, all of which functioned under the umbrella of the EAISCA",,1960.0
31,31,Ngũgĩ wa Thiong'o,Makerere University,Student,Undergraduate in English,1960-1963,Interval,,,,1963.0
32,32,Ngũgĩ wa Thiong'o,University of Nairobi,Academic,Lecturer in English,1967-1977,Interval,,,,1977.0
33,33,Ngũgĩ wa Thiong'o,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,1965,Year,,,,1965.0
34,34,Charity Waciuma,East African Publishing House,Published,,1969,Year,,Author of Daughter of Mumbi,,1969.0
35,35,Philip Ndegwa,East African Publishing House,Published,,,,,Author of The Common Market and Development in East Africa,,
36,36,Philip Ndegwa,Ministry of Economic Development and Planning,Worked for Tom Mboya,,,,,,,
37,37,Philip Ndegwa,Makerere University,Academic,,,,,,,
38,38,Colin Legum,East African Publishing House,Published,,,,,Author of Pan Africanism and Nationalism; Ghost writer for Tom Mboya's Freedom and After; East Africa correspondent for The Observer,,
39,39,E.S. Atieno Odhiambo,University of Nairobi,Academic,,,,,,,
40,40,Terry Hirst,Paa ya Paa Gallery,,,,,,Journalist & academic,,
41,41,Terry Hirst,East African Institute for Social and Cultural Affairs,Associate Editor of East Africa Journal,,,,,Journalist & academic,,
42,42,Ezekiel Mphalele,Chemchemi Cultural Centre,,,,,,Writer,,
43,43,Ezekiel Mphalele,Congress for Cultural Freedom,,,,,,,,
44,44,Ezekiel Mphalele,CIA,,,,,,,,
45,45,Ezekiel Mphalele,East African Institute for Social and Cultural Affairs,Contributor,Subject & presenter of radio broadcasts,1965,Year,,,,1965.0
46,46,Pamela Mboya,Makerere University,Student,,,,,,,
47,47,Grace Ogot,East African Publishing House,Published,,,,,,,
48,48,Grace Ogot,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcast,,,,,,
49,49,Clement Lubembe,Kenya Federation of Labour,,,,,,,,
50,50,Yash Ghai,University of Dar es Salaam,Academic,,,,,,,
51,51,Richard Garver,CIA,Officer,,,,,Former tutor of Odinge Odera,,
52,52,Richard Garver,East African Institute for Social and Cultural Affairs,Employee,,,,,,,
53,53,Peter Anyang-Nyongo,Makerere University,Student,,,,,,,
54,54,Lennard Okola,East African Publishing House,Deputy Director,,,,,,,
55,55,Lennard Okola,Makerere University,Student,,,,,,,
56,56,Charles Granston Richards,East African Literature Bureau,Director,,,,,,,
57,57,J.P. Oyende,East African Literature Bureau,Published,,1951,Year,,Author of Chifu hodari wa Kiafrika / The ideal African chief,,1951.0
58,58,A. McPhee,East African Literature Bureau,,,,,,Editor of Tunuulira,,
59,59,Mr. J.S. Kasirye,East African Literature Bureau,Luganda translator,,1956,Year,,,,1956.0
60,60,J. Johnston,East African Literature Bureau,Deputy Director,,1954,Year,,,,1954.0
61,61,David Rubadiri,Makerere University,Student; academic,Lecturer,,,,,,
62,62,David Rubadiri,East African Academy,Chairperson,Chairperson of the Research and Studentships Committee,1966,Year,,"Elected at the 1966 symposium, Kampala",,1966.0
63,63,Ali Mazrui,Makerere University,Academic,,1966-1974,Interval,,Left Makerere because of fears around Idi Amin's rule,,1974.0
64,64,Ali Mazrui,East African Institute for Social and Cultural Affairs,Contributor,Subject of radio broadcasts,1965,Year,,,,1965.0
65,65,Isaria Kimambo,East African Institute for Social and Cultural Affairs,Associate Editor,East Africa Journal,,,,,,
66,66,Isaria Kimambo,University of Dar es Salaam,Professor,Head of History Department,,,,First African head of department,,
67,67,Tom Mboya,East African Institute for Social and Cultural Affairs,Contributor,,,,,,,
68,68,Tom Mboya,Paa ya Paa Gallery,Patron,,,,,,,
69,69,Tom Mboya,Chemchemi Cultural Centre,Patron,,,,,,,
70,70,Tom Mboya,East African Publishing House,Author,,,,,EAPH published Swahili translation of Freedom and After (Uhuru ni Mwanzo),,
71,71,John Nottingham,East African Publishing House,Editor & author,,,,,,,
72,72,Rajat Neogy,East African Institute for Social and Cultural Affairs,Subject of radio broadcast,,1965,Year,,,,1965.0
73,73,Abu Mayanja,Makerere University,Student,Expelled for organising a 1952 student strike,1952,Year,,,,1952.0
74,74,Boloki Chango Machyo,Makerere University,Tutor,Resident tutor in Mbale for Makerere Extra Mural Studies,1964-1970,Interval,,,,1970.0
